"name","x","y"
"Adelaide",138.590223963613,-34.915016278048
"Albany",117.877300960633,-34.9968359639087
"Albury",146.882294245208,-36.1223721826433
"Alice Springs",133.890460952886,-23.7572370618334
"Brisbane",153.012356809152,-27.4711420639995
"Bunbury",115.674549609345,-33.3406243720061
"Cairns",145.720756930361,-16.8978700212605
"Canberra",149.11757267771,-35.3108397793306
"Central Coast",151.428558540372,-33.3666849489531
"Darwin",130.934927244141,-12.4429618235898
"Devonport",146.347058093907,-41.1942008269546
"Gawler",138.73346458246,-34.5993737876171
"Geelong",144.359002124924,-38.1676724880942
"Gold Coast",153.349480823381,-27.9649803163333
"Hobart",147.34762784478,-42.8407967569717
"Katherine",132.276460586237,-14.4635054346153
"Launceston",147.137152424868,-41.4398264849429
"Melbourne",145.079957329471,-37.8919596818479
"Mount Gambier",140.782169937633,-37.8255923071271
"Perth",115.871656568035,-32.0375198997762
"Sydney",150.964227149539,-33.8409768949467
"Batemans Bay", 150.18214359921367, -35.716335249487564